GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Web/docs-core,com.sismics.util.jpa,EMF.new DbOpenHelper() {...},0,21,0,2,0,6,0,4,0,3
Docs Web/docs-core,com.sismics.util.jpa,DialectUtil,61,31,9,9,12,7,9,4,2,2
Docs Web/docs-core,com.sismics.util.jpa,DbOpenHelper,84,236,12,16,19,62,11,11,2,6
Docs Web/docs-core,com.sismics.util.jpa,EMF,136,67,5,1,34,22,3,6,0,6
Docs Web/docs-core,com.sismics.docs.core.model.context,AppContext,168,197,21,7,40,50,19,8,6,7
Docs Web/docs-core,com.sismics.util,ImageUtil,191,0,22,0,47,0,16,0,5,0
Docs Web/docs-core,com.sismics.util,ClasspathScanner,29,55,6,6,5,11,5,5,1,3
Docs Web/docs-core,com.sismics.util,LocaleUtil,43,0,6,0,12,0,5,0,2,0
Docs Web/docs-core,com.sismics.util,ImageDeskew.HoughLine,12,0,0,0,3,0,1,0,1,0
Docs Web/docs-core,com.sismics.util,ResourceUtil,128,20,22,2,29,3,14,1,2,1
Docs Web/docs-core,com.sismics.util,EmailUtil.MailContent,28,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.util,EmailUtil.FileContent,12,0,0,0,4,0,4,0,4,0
Docs Web/docs-core,com.sismics.util,HttpUtil,20,0,0,0,3,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,EmailUtil,415,0,40,0,97,0,26,0,6,0
Docs Web/docs-core,com.sismics.util,MessageUtil,24,0,0,0,7,0,3,0,3,0
Docs Web/docs-core,com.sismics.util,Scalr,87,0,10,0,17,0,7,0,2,0
Docs Web/docs-core,com.sismics.util,JsonUtil,44,0,6,0,10,0,7,0,4,0
Docs Web/docs-core,com.sismics.util,EnvironmentUtil,42,23,7,1,10,8,13,3,9,3
Docs Web/docs-core,com.sismics.util,ImageDeskew,386,0,28,0,64,0,21,0,7,0
Docs Web/docs-core,com.sismics.util,ResourceBundleModel,71,0,4,0,15,0,4,0,2,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText.FormattingVisitor,264,0,30,0,42,0,20,0,5,0
Docs Web/docs-core,com.sismics.util,HtmlToPlainText,13,0,0,0,4,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,AclEvent,43,0,0,0,15,0,8,0,8,0
